episode,episode_reward,batch_reward,epsilon
1,-242.173935222,-242.173935222,0.98
2,-253.741930207,-247.957932714,0.9604
3,-545.60724609,-347.174370506,0.941192
4,-254.540631071,-324.015935647,0.92236816
5,-349.489117426,-329.110572003,0.9039207968
6,-235.535485625,-313.514724274,0.885842380864
7,-248.245381756,-304.190532485,0.868125533247
8,-379.229153142,-313.570360067,0.850763022582
9,-474.088391071,-331.405696846,0.83374776213
10,-424.695661092,-340.73469327,0.817072806888
11,-224.827620118,-330.19768662,0.80073135075
12,-493.782262388,-343.829734601,0.784716723735
13,-443.797757035,-351.51958248,0.76902238926
14,-239.014298628,-343.483490776,0.753641941475
15,-331.519037997,-342.685860591,0.738569102645
16,-352.190980356,-343.279930577,0.723797720592
17,-257.882746397,-338.256566801,0.709321766181
18,-245.43779979,-333.099968634,0.695135330857
19,-600.657097794,-347.1819228,0.68123262424
20,-295.389598311,-344.592306576,0.667607971755
21,-358.380698079,-345.248896647,0.65425581232
22,-243.769196049,-340.636182984,0.641170696074
23,-363.232999136,-341.618653251,0.628347282152
24,-228.04103287,-336.886252402,0.615780336509
25,-423.499934874,-340.350799701,0.603464729779
26,-628.007677886,-351.414525785,0.591395435183
27,-415.786481002,-353.798672275,0.57956752648
28,-322.745670494,-352.689636497,0.56797617595
29,-290.584949371,-350.548095561,0.556616652431
30,-599.558365582,-358.848437895,0.545484319382
31,-285.812035614,-356.492424919,0.534574632995
32,-342.897663086,-356.067588611,0.523883140335
33,-365.742414054,-356.36076514,0.513405477528
34,-425.117651317,-358.383026498,0.503137367978
35,-301.521290521,-356.75840547,0.493074620618
36,-195.924264012,-352.29079043,0.483213128206
37,-231.725097979,-349.032258201,0.473548865642
38,-356.916017594,-349.239725554,0.464077888329
39,-384.97841356,-350.156102169,0.454796330562
40,-184.273045232,-346.009025746,0.445700403951
41,-148.310134789,-341.187101576,0.436786395872
42,-220.46684958,-338.312809862,0.428050667954
43,-180.087882678,-334.633160392,0.419489654595
44,-229.558311051,-332.245095635,0.411099861503
45,-289.994590379,-331.306195518,0.402877864273
46,-211.410685733,-328.699771392,0.394820306988
47,-280.103338112,-327.665804727,0.386923900848
48,-132.794067151,-323.60597686,0.379185422831
49,-184.287467937,-320.762741984,0.371601714375
50,-162.995825019,-317.607403645,0.364169680087
51,-248.347633459,-316.249368936,0.356886286485
52,-263.215544892,-315.229487704,0.349748560756
53,-264.284165067,-314.268255201,0.342753589541
54,-198.179496909,-312.118463381,0.33589851775
55,-394.321199994,-313.613058592,0.329180547395
56,-660.547171985,-319.808310617,0.322596936447
57,-128.15881988,-316.44603885,0.316144997718
58,-155.889674862,-313.677825678,0.309822097764
59,-167.318135682,-311.197152966,0.303625655808
60,-155.93478497,-308.609446833,0.297553142692
61,-187.45391853,-306.623290631,0.291602079838
62,-124.713305643,-303.689258615,0.285770038242
63,-87.1570983423,-300.252240198,0.280054637477
64,-155.131065815,-297.984721848,0.274453544727
65,-93.1589671671,-294.833556392,0.268964473833
66,-110.026211092,-292.033445099,0.263585184356
67,-97.6569081,-289.132302756,0.258313480669
68,-76.2958613988,-286.002355089,0.253147211055
69,-331.89568512,-286.667475814,0.248084266834
70,-142.49411318,-284.607856348,0.243122581498
71,-134.649694828,-282.495769566,0.238260129868
72,-127.899298658,-280.348596359,0.23349492727
73,-44.2613647117,-277.114524692,0.228825028725
74,-152.067219718,-275.424696247,0.22424852815
75,-81.8405898648,-272.843574828,0.219763557587
76,-98.4102232645,-270.54839915,0.215368286436
77,-60.4504641574,-267.81985454,0.211060920707
78,-113.504422705,-265.841451567,0.206839702293
79,-134.726280887,-264.181765863,0.202702908247
80,-500.477093214,-267.135457454,0.198648850082
81,-176.413963709,-266.015439013,0.19467587308
82,-235.885478377,-265.648000469,0.190782355619
83,-198.111131623,-264.834303254,0.186966708506
84,-171.95648242,-263.728614911,0.183227374336
85,-65.2264671982,-261.393295526,0.17956282685
86,-101.012371595,-259.528401061,0.175971570313
87,-242.164349034,-259.328814256,0.172452138906
88,-181.283101275,-258.441931154,0.169003096128
89,-51.2379142102,-256.113796133,0.165623034206
90,-59.9436478418,-253.934127818,0.162310573522
91,-260.783252666,-254.009392926,0.159064362051
92,-181.99061121,-253.226580082,0.15588307481
93,-53.0902175517,-251.074576184,0.152765413314
94,-370.622105533,-252.346358411,0.149710105048
95,-214.820732532,-251.951351822,0.146715902947
96,-68.7505538216,-250.043010177,0.143781584888
97,-48.8249057885,-247.968596729,0.14090595319
98,-270.90896871,-248.202682158,0.138087834126
99,-168.877271473,-247.401415383,0.135326077444
100,-56.3501663743,-245.490902893,0.132619555895
101,120.015280609,-241.869010735,0.129967164777
102,-2.14831009499,-239.353074534,0.127367821481
103,-220.456932752,-236.1015714,0.124820465052
104,-202.428286134,-235.580447951,0.122324055751
105,-434.615413725,-236.431710914,0.119877574636
106,-235.549481722,-236.431850875,0.117480023143
107,-186.589144129,-235.815288498,0.11513042268
108,-40.3265590977,-232.426262558,0.112827814226
109,-307.924667552,-230.764625323,0.110571257942
110,-380.724869259,-230.324917405,0.108359832783
111,-251.359343876,-230.590234642,0.106192636127
112,-180.899090666,-227.461402925,0.104068783405
113,-431.813371872,-227.341559073,0.101987407737
114,-228.288005495,-227.234296142,0.1
115,-337.818685003,-227.297292612,0.1
116,-206.004210943,-225.835424918,0.1
117,-207.56904864,-225.33228794,0.1
